logFC	AveExpr	t	P.Value	adj.P.Val	B
Ntng1	-0.244576910098818	8.40245615301666	-38.6454121852968	1.87744945419674e-322	1.39035013396185e-319	726.758220269165
Mapk4	0.274319310034542	8.79429379309433	38.4907592056954	6.27463370218383e-320	4.48076088670325e-317	720.948096257954
Sema3c	-0.114386237467318	7.91550054022659	-38.4738642545631	1.18249671675644e-319	8.15311081292392e-317	720.314690185849
Slc35f3	-0.236084056706245	8.69464028763882	-38.3307499367822	2.51129417629681e-317	1.67377756850182e-314	714.959976938471
Ptprt	0.375204463744273	9.56694053017231	37.852673080279	1.3002703832758e-309	8.3867439721289e-307	697.209677011158
Zfp804a	-0.296045186864317	8.60370740227701	-37.291405560104	1.13044365834184e-300	7.06350654642035e-298	676.640851598322
Gpc6	0.411990163331373	8.9812790283405	36.9854967388044	7.44705422613011e-296	4.5122378561052e-293	665.553291079586
Galnt16	-0.182569806960093	8.37609929231341	-36.8078532684991	4.49695549982428e-293	2.64460662408784e-290	659.154624440341
Epha5	-0.23534555855816	8.91767379171785	-36.725303065136	8.7273457074227e-292	4.98580792628334e-289	656.191157282205
Nfia	-0.274659452061318	8.62848157746528	-36.3462365293795	6.60421927463444e-286	3.66809345545321e-283	642.6644700209
Tacr3	0.107740702031887	7.93987886698136	36.2224930184795	5.32557439521355e-284	2.87796919006203e-281	638.27779932859
Zfp385d	-0.107794780979905	7.94518912245916	-35.8636339915454	1.66106139329466e-278	8.74024277866493e-276	625.637023419604
Nptxr	0.174760173202142	8.42885474465144	35.6325871346045	5.37079352733155e-275	2.75356452766652e-272	617.562029663019
Trpc7	-0.0794743211849651	7.86767173052721	-35.3147986022747	3.3262871136505e-270	1.66272777093604e-267	606.536931609563
RGD1564053	-0.263783737624085	9.20239560880744	-34.9847938744484	2.84897181680584e-265	1.38939491407397e-262	595.188035205786
Slc8a3	-0.142367020202023	8.17021982992446	-34.8827201130538	9.36422745854424e-264	4.45804114365696e-261	591.698353891303
Igsf21	-0.209348760455557	8.38820918594761	-34.4036626971763	1.08018252768599e-256	5.02284875373988e-254	575.450897708932
Ldb2	-0.249955439213139	8.69370169868617	-34.2535114463671	1.68934712964459e-254	7.67693087664626e-252	570.402773863839
Maf	-0.193812222407542	8.23069052476566	-34.1996332332816	1.02997584745492e-253	4.57652601552472e-251	568.596528386968
Lpp	-0.0945938430453515	7.94129526848678	-34.0864625465113	4.55061584498189e-252	1.97803399609593e-249	564.811443870844
Cacna2d1	0.21416914427741	9.9169591248742	34.052480565049	1.41603424005495e-251	6.02417119785079e-249	563.677232601034
Bmpr1b	-0.1200741748908	7.98027494724341	-33.7246673383944	7.63364792052516e-247	3.17989146189376e-244	552.791609950751
Nxph1	-0.238219124292021	8.22804003255919	-33.5855535603972	7.54141298391081e-245	3.07735821659789e-242	548.20262403476
Glra2	-0.0796969389225506	7.87588744877458	-33.3168517211945	5.10381154818192e-241	2.04101423811795e-238	539.39053507651
Unc5d	0.393817551791164	9.48213591628798	33.3058587883916	7.31110131682488e-241	2.8663817809787e-238	539.031450561889
Gipr	-0.037716142428998	7.82230352829327	-33.2627678695769	2.98759050579407e-240	1.14878600314139e-237	537.625054337866
Kcnd3	0.168549639090294	8.60406446298504	33.2368898905319	6.95150171929308e-240	2.62255239391066e-237	536.781322532262
Nebl	-0.219656229765983	9.0219801959752	-33.048027145944	3.24002765190909e-237	1.19971023888745e-234	530.642499702684
Frmd4b	-0.065963337513673	7.85445169948275	-32.9381459941874	1.13857279597511e-235	4.13922964645861e-233	527.086383948294
Nwd2	0.203221571333817	8.67754298702173	32.5943053554605	7.2706630504591e-231	2.59601620882017e-228	516.032208972463
Wls	0.090348176103217	7.95879399616585	32.5250990036966	6.6509625224221e-230	2.33308764273386e-227	513.820783890147
Anks1b	-0.217443784696124	11.6205384930509	-32.2735748081851	1.9959028614222e-226	6.88070305416154e-224	505.821685587922
Tmem164	0.0964432706038547	8.00723203251371	32.2687415833445	2.32650131785336e-226	7.88447353397932e-224	505.668562737514
Gabbr2	0.184543513038395	9.73742071023563	32.1935067610811	2.52123070296114e-225	8.402001317618e-223	503.287874734263
Trabd2b	-0.131748740561887	7.96581472053312	-32.1072680376975	3.84628812881276e-224	1.26076280550182e-221	500.565547126064
Kcna1	-0.155419562811653	8.45844417552667	-32.0852970699576	7.692030782377e-224	2.48067992731658e-221	499.873139111961
