logFC	AveExpr	t	P.Value	adj.P.Val	B
AABR07025986.2	0.795874084656761	10.7612878016403	38.8904628903883	0	0	736.719839064196
Cdh8	-0.587469211063505	8.74768663738923	-38.6764125920181	5.92878775009496e-323	2.23663517872332e-320	728.636034999065
Kif28p	0.125954671108648	7.82618581513238	38.5176057600348	2.29048833412002e-320	8.48117040176251e-318	722.665841317193
Fgf14	0.474639487233295	11.6645205329914	38.4037756202064	1.63492250996619e-318	5.943686447865e-316	718.400921885817
Fam184b	0.204868339198468	7.97207537767281	38.1626831032883	1.32507842386907e-314	4.7312398366536e-312	709.40724846237
Dscam	-0.573250944556037	9.49232945884168	-37.8891158301831	3.38239089102469e-310	1.18650712045682e-307	699.267269412896
Npas3	0.520252632619073	8.56585976280114	37.8845030175355	4.01122968936925e-310	1.38283685584376e-307	699.096880824295
Plxna4	0.53825601433749	9.83267777050956	37.8154565372534	5.13672451034387e-309	1.74082723024281e-306	696.548871992042
Sez6	-0.395202126935033	8.41182966664167	-37.230714794735	1.02858727113662e-299	3.42776708106278e-297	675.14741944328
Pip5k1b	0.496537906269024	8.49325839428001	37.0592061208733	5.18005095486044e-297	1.69795276790876e-294	668.930407497656
Cacna2d3	0.908726518075984	10.2604805241896	36.9431579229285	3.43508003249387e-295	1.10781331047927e-292	664.739262573158
Thsd7b	0.711632674257368	9.08445831138032	36.4878043802549	4.27609428452409e-288	1.357150876493e-285	648.415013256029
Igf1r	0.429765759143091	8.94166357362873	36.3662536701349	3.24202439661942e-286	1.01287934078758e-283	644.090139206286
Acsl6	0.297627791777082	8.35106178714608	36.3352128816538	9.77023937230069e-286	3.00547594229465e-283	642.987879994992
Gpc6	-0.85024703477365	8.9812790283405	-36.1521655054056	6.41480152174932e-283	1.94339327920269e-280	636.506083798034
Atp2b4	-0.413368032496569	8.41233794405854	-36.0081157365533	1.03439200235688e-280	3.08696538613818e-278	631.427252531631
Plppr1	0.279309084365709	8.06566409939433	35.8537120806482	2.35258990151299e-278	6.91765221775767e-276	626.004823118687
Jdp2	0.327416202642125	8.29819127274946	35.8522408115528	2.4771804953113e-278	7.17843826141295e-276	625.953261337944
Tenm1	-0.519110668615706	8.95277041259931	-35.8070536057983	1.20740898877342e-277	3.44887753293209e-275	624.370624427367
Reck	0.224853534623513	8.03944033159343	35.7270845150502	1.9825182910539e-276	5.58316242670741e-274	621.574459453058
Brinp3	-0.68488985233952	9.05507197651751	-35.6956884940658	5.93848386265564e-276	1.64916645602499e-273	620.478282317092
Wipf3	0.203120389166668	7.95126920055266	35.51452695917	3.27374091787337e-273	8.96691091135316e-271	614.171305522232
Rtn4rl1	0.412754241735005	8.43261338891053	35.472657235323	1.40195432441771e-272	3.78811847523407e-270	612.718005335414
Mgll	0.356951402234548	8.53160205774178	35.3603560482589	6.87879443902337e-271	1.83388659744363e-268	608.828119586315
Vamp1	0.17711986631724	7.9609408377535	35.2662493660054	1.77998838212544e-269	4.68300890797345e-267	605.577538274067
Nefm	0.133516092835667	7.87336125611778	34.765026671362	5.18920729026339e-262	1.34750908790671e-259	588.404243549283
Itpr1	0.461599508819983	9.4834844236992	34.7451010649185	1.02268379804788e-261	2.62161058230352e-259	587.726400509352
