logFC	AveExpr	t	P.Value	adj.P.Val	B
Nostrin	0.23688636735608	7.80322825581172	58.5880517954707	0	0	1656.4784676785
Jam2	0.281928996522196	7.80696265290313	57.8948060029387	0	0	1618.41825622411
Scarf1	0.158260593357372	7.7992322833189	57.2222082969641	0	0	1581.87591296358
Paqr5	0.195503072960562	7.80116499443726	57.1884138493967	0	0	1580.04986874321
AC120594.1	0.061136098685135	7.79600391245634	56.5872248409015	0	0	1547.72609816306
Angptl4	0.0708633712567588	7.79621060356263	55.8994626592472	0	0	1511.12114268942
Ccm2l	0.161648809400975	7.79970149977232	55.6845964336513	0	0	1499.76706578415
Clec14a	0.0617306650835019	7.79618973879456	54.4816329563316	0	0	1436.92524486372
Zic2	0.0789668393329777	7.79643862400906	54.0725784661473	0	0	1415.83750824022
Parvb	0.425565571154844	7.82718912136401	53.590916681028	0	0	1391.19016087144
Osmr	0.0688710330893523	7.79627269372635	53.511033504936	0	0	1387.12186836627
Zc3hav1	0.171440235840103	7.80030941574942	53.1920130796917	0	0	1370.92848843802
Bst2	0.044253464820537	7.7958541547395	52.9981925351513	0	0	1361.13324626231
S1pr1	0.111800099456928	7.79761464645346	52.8897310402342	0	0	1355.66567932147
Hbb	0.306510886921325	7.80428916922769	52.7248631296355	0	0	1347.3743430126
Tal1	0.0615444826363722	7.79617721961049	52.6491711383942	0	0	1343.57576050774
Smad6	0.0763749140706729	7.79632528572056	52.5461167348744	0	0	1338.41167482066
Pdgfd	0.140646488009291	7.79843228452446	52.3600300294959	0	0	1329.10994864795
Gimap5	0.0389396949969747	7.79575345889591	52.3421207828465	0	0	1328.21650349667
Apold1	0.0677720166601876	7.7962375223769	51.8028741142738	0	0	1301.43958972871
Arhgap28	0.10101341189079	7.79699418968978	51.7269200745078	0	0	1297.68806943328
Rasgrp3	0.156416034182227	7.79987549856672	51.467515668542	0	0	1284.91386931283
B2m	0.321142471886411	7.81337573118539	51.0007056490725	0	0	1262.07334239276
Foxq1	0.053317995944445	7.79590203539981	50.9251625026074	0	0	1258.39507085177
Nkd1	0.119812204908529	7.79797505457755	50.6649745103014	0	0	1245.76360788771
Dock6	0.149594006982584	7.79910750567037	50.5105147067313	0	0	1238.29299157821
Kank3	0.147846442003335	7.79998490412778	50.3813048668855	0	0	1232.05961100319
Sparc	0.191697264530643	7.80160820989265	50.0629290301862	0	0	1216.76267447706
Cgnl1	0.311980662705912	7.81252723111646	49.8022821118104	0	0	1204.30543583272
Kank2	0.112926629066487	7.79715226647548	49.3554653127078	0	0	1183.08898681243
Tagln2	0.0542198221286148	7.79595680547053	49.2796391261762	0	0	1179.50601620529
Sp100	0.213381958897789	7.80463726352388	49.2127685268964	0	0	1176.35015063208
Arhgef5	0.0497292698534739	7.79596697899877	48.9940257946155	0	0	1166.0549326012
Ucp2	0.0575241965745041	7.79611498707527	48.8052053058284	0	0	1157.20174892429
Slc12a7	0.0629532849344283	7.79640372344592	48.5954728186991	0	0	1147.40487574432
Itm2a	0.184643131847205	7.8025045374249	48.4337243858605	0	0	1139.87575360094
Kiaa0040	0.0618025569469367	7.79634355491169	48.309265711928	0	0	1134.09834927434
Col4a5	0.155512030995349	7.79948714532125	48.1661592122259	0	0	1127.47193712986
Rassf9	0.0980557091571326	7.79710492795788	47.9758443325294	0	0	1118.6877888658
Maob	0.240567238464583	7.8065412135858	47.4984223305649	0	0	1096.79299678761
Mmrn2	0.0515389744251769	7.79608964983805	47.4386364717149	0	0	1094.06553491382
Abcc6	0.0836504739707937	7.79698072163824	47.2690502021811	0	0	1086.34571605127
Pear1	0.0772796710091157	7.79662037312192	46.9926057533763	0	0	1073.81650574039
