logFC	AveExpr	t	P.Value	adj.P.Val	B
Ppargc1a	1.74941050518833	10.1766263790856	64.9479473583619	0	0	2024.05336768554
Zfhx3	0.373174109256762	7.88236624586784	64.9413474991806	0	0	2023.65485029214
Grin3a	0.514638823195144	7.90119788435043	64.5788870645664	0	0	2001.82198153243
Car10	-1.59617571241531	10.5613546827722	-64.2870978905874	0	0	1984.32254254639
Kcnt2	-1.21641666295016	9.39827488471225	-63.0387264019611	0	0	1910.22749822127
Magi1	1.18621291659543	9.44480201353028	62.9340466177101	0	0	1904.07159433603
Myo19	0.47274441123532	7.98664584203233	62.7200848636407	0	0	1891.51677168761
Ldb2	1.35788632719193	8.69370169868617	62.6868335344409	0	0	1889.56890354816
Ccdc180	0.28057999286931	7.84908201293672	62.4941150407379	0	0	1878.29767151913
Grik2	1.27262162373495	9.80279145868156	62.4646311323234	0	0	1876.57593917244
Col11a1	0.49493315686642	7.93714277465344	62.4030566305356	0	0	1872.98253399473
Lpcat2	0.876010628908993	8.39739624053103	62.3604097601078	0	0	1870.49552678903
Ctbp2	0.641736056760264	8.03777160659707	62.2969661176153	0	0	1866.79846618127
LOC100910088	0.851674067401582	8.239930089039	62.1046378973623	0	0	1855.61091355724
Nudt7	0.134962626919533	7.81188962662616	61.7810148602702	0	0	1836.85376689081
Slc4a3	0.490525885711659	8.01013536054803	61.6332278351708	0	0	1828.31695872514
Fezf2	0.297141884201174	7.86101783862921	61.1896871922295	0	0	1802.80240197626
Ntng1	1.15343494713708	8.40245615301666	61.1265320066193	0	0	1799.182396706
Efr3a	0.899615494205877	8.45559997953561	60.8943504314691	0	0	1785.90262123329
Clec2e	0.0492030183758523	7.79809713045549	60.8548987172999	0	0	1783.65022054409
LOC304725	1.72753879653269	8.98017739630797	60.4560848488958	0	0	1760.95588632777
Slc20a1	0.531426843402363	8.06026958925295	60.4172555226121	0	0	1758.75361337694
Galnt16	0.892972498515507	8.37609929231341	60.4103950857711	0	0	1758.36458717207
Bcan	0.403982982087279	7.93736771176217	60.3368582223743	0	0	1754.19705931997
Specc1	1.03373984004403	8.71391945822328	59.616639505724	0	0	1713.61622000492
Arhgap26	1.00539770318356	8.76061322666594	59.0905285130402	0	0	1684.24368533867
Ank1	0.580616966722378	8.0731493781762	58.9183341967474	0	0	1674.68005003418
Sh3rf1	0.730013423702887	8.24859698666281	58.4560858555207	0	0	1649.12885950498
Tox	1.42431557740376	8.64170817749598	58.356592954587	0	0	1643.65232637532
Cdh8	1.24750926415856	8.74768663738923	57.9414679416557	0	0	1620.89246719957
Ralyl	1.27464526979133	11.4885280734751	57.9225975721554	0	0	1619.86130344215
