gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Foxp1	0.920985544200953	9.80300852144957	31.1104412469716	1.1020772889394101e-210	9.622722878752639e-209	470.958974472367	1.8934082904342149
Pak5	0.874067734499961	9.53900375358903	30.6355228328692	2.04052646094257e-204	1.74360370027977e-202	456.546192558163	1.8328233383455046
Sh3rf3	0.751414929646213	8.85030531125387	29.9688583461948	8.92764224794857e-196	7.437841947822151e-194	436.676189258794	1.6834430654909578
Mpped2	0.718399391680657	8.77377329481704	29.9464090678924	1.73188128532196e-195	1.43688656846525e-193	436.014451341232	1.6453555700392921
Dscam	0.936454736386967	9.49232945884168	29.548069350629	2.04287481784535e-190	1.63389127931271e-188	424.352474981989	1.913819455570767
Epha5	0.833971934992489	8.91767379171785	29.4624477050906	2.46499332748735e-189	1.94812417324544e-187	421.865537819001	1.7825863144827332
Tafa5	0.602576453920124	8.35422135119689	29.2752942413553	5.56378901306914e-187	4.3798409967054094e-185	416.453905171892	1.5184258452601722
Klhl32	0.6903702634173	8.4039127115274	29.1858870228338	7.321371652350299e-186	5.740816713284089e-184	413.880457121459	1.6136976160262049
Nkain2	1.3911493177148	11.5395764533973	29.1689199781766	1.1929333326597699e-185	9.31746171348911e-184	413.392948996349	2.6228754797741964
Cyp4x1	0.511138159548933	8.26605054258052	29.0010081108856	1.47381800213437e-183	1.13342272894911e-181	408.583225672549	1.4251740892706384
Rgs17	0.544026898837382	8.30339068626222	28.9317739802794	1.0654948347747101e-182	8.10059666209897e-181	406.607905388518	1.4580365634409707
Prkca	0.880118272454256	8.76888475284662	28.7427348806236	2.30759789917128e-180	1.72810561775018e-178	401.23776656512	1.8405261818030523
Cacnb4	0.822764236302273	10.3391291743864	28.6455867727451	3.61137455795368e-179	2.6547586134663196e-177	398.491321587368	1.7687917929592816
Plcl2	0.652073478478963	9.06929791282785	28.5060488046087	1.84733894470186e-177	1.34318335270232e-175	394.562286039684	1.5714250661764915
Grip1	1.02630936436854	9.26904020895939	28.2368995009826	3.4664426726288098e-174	2.46660217933143e-172	387.036375360722	2.036807115518883
Birc6	0.584353150903404	9.45866858670362	28.1801332053634	1.68430240241747e-173	1.19002213909319e-171	385.457944960257	1.499366580115688
Gpc6	1.3797634626635	8.9812790283405	28.0166727585175	1.56981170940459e-171	1.10134684665069e-169	380.930034432297	2.6022570223668793
Ehbp1	0.625398674404238	8.94892681889977	28.014141557001	1.68364435999395e-171	1.17297801317349e-169	380.860135833833	1.542637058897957
Pip4k2a	0.517265090231504	8.31752852757217	27.633301199864	5.904959183434611e-167	3.92258002899585e-165	370.411064012469	1.4312394811750384
Pcsk5	0.786659503541831	8.38236001901893	27.4543781505518	7.68514896287671e-165	5.03818208238425e-163	365.550013938071	1.7250754987911316
Grm8	1.37687539824793	9.42601424035805	27.432466941688	1.39211336596521e-164	9.0965054746648e-163	364.956830830049	2.5970528951888423
Satb1	0.687416741272962	8.83547815775737	27.4034739961	3.05333263172198e-164	1.98864449417854e-162	364.172658355921	1.6103973923451862
Cntnap2	0.968027385617836	10.5435286005542	27.3771791597628	6.2206137996216595e-164	4.0383497702414003e-162	363.462147250865	1.9561640789648174
Pcdh17	0.545624117546552	8.3055491299808	27.0742259485097	2.15695607281034e-160	1.3691535452648498e-158	355.323980308025	1.4596516607453636
Dst	0.589950713195458	9.71627371247869	26.7664837295457	7.77365107329327e-157	4.812202885773961e-155	347.147496867921	1.5051953245303595
Adgrl3	0.742392116367684	10.0641798059925	26.6567181140481	1.4115581481529301e-155	8.65770097310361e-154	344.253147483382	1.672947435710349
Trhde	0.894905785078949	9.25288866014849	25.6673016861257	1.86928021720979e-144	1.080238668876e-142	318.687543563275	1.8594884477271418
Tbc1d1	0.499003456209136	8.34901545360415	25.5326525382875	5.67028562938106e-143	3.24863499024282e-141	315.28131222451	1.413237029516383
LOC304725-1	0.758827285902409	8.47428956668521	25.5103862275091	9.9525903220748e-143	5.68577267113959e-141	314.719719918792	1.6921146073917173
Cdh6	0.671579343967565	8.8680867923065	25.307653907621	1.63292646638779e-140	9.12021360207369e-139	309.628567425203	1.5928156971620693
Mycbp2	0.52289640757086	9.69650584661674	25.1267489697714	1.49615779819783e-138	8.21859208103449e-137	305.119075559928	1.4368370010461
Meis2	0.778783691684376	8.55457313356994	25.019661048179	2.13767783568936e-137	1.16465581265964e-135	302.464548257528	1.715683803096127
Mindy2	0.494813043250691	8.57339887478048	24.9599944161663	9.36201699131543e-137	5.0592845876041097e-135	300.990331917946	1.4091381351507812
Bach2	0.579828001026609	8.46478153633092	24.7585362698033	1.33677376815212e-134	7.146735693636801e-133	296.03821264318	1.4946710424285636
Efr3a	0.54204006787403	8.45559997953561	24.6841969463193	8.25754472875567e-134	4.36797901723465e-132	294.220766077692	1.4560299866621456
Sntg1	0.844714953389412	9.67321354764736	24.5508864267809	2.13377326269274e-132	1.10817652954653e-130	290.974986565863	1.795909876177181
Ncam1	0.602085392350453	9.38194427163688	24.5469000285365	2.3510695539116102e-132	1.21786621063375e-130	290.878192555727	1.517909094545387
Mdga2	0.692266259683352	11.0642446608504	24.3836893923432	1.2299707823890799e-130	6.25782844627727e-129	286.928473252107	1.6158197387864004
Etl4	1.09150574471679	10.6379265211407	24.3824211152991	1.2682536521172799e-130	6.43622633860024e-129	286.897881770983	2.130963296822236
Epha7	0.534678522539373	8.48011896723499	23.8885804525495	1.71790105725197e-125	8.35752594641195e-124	275.104637975377	1.4486193210124736
Fmn2	0.558187930577327	9.38881152051691	23.8533377294808	3.95646801135024e-125	1.92013538560553e-123	274.272054964779	1.4724186521567288
Ano4	0.702010322580962	8.72607428632555	23.3629228010991	3.84372762016246e-120	1.79989072049528e-118	262.811411388064	1.6267700358726584
Marchf1	0.893488292078073	9.72297608270554	23.0185841307771	1.0620070859368e-116	4.84813508751288e-115	254.903990121788	1.8576623394191607
Atp2a2	0.499026885611686	9.00116835641991	22.9590696493709	4.1291657706565e-116	1.8595195852314597e-114	253.548970289993	1.4132599807064754
Hcn1	0.706719097751504	9.37972860603958	22.8672070877107	3.3358586703936902e-115	1.4988875081915e-113	251.464210394729	1.6320882829999972
Hs3st4	1.39986634820493	9.389549297285	22.855382662538	4.36259072843327e-115	1.9470982503353402e-113	251.196452144098	2.638771353481006
Robo1	0.93239884168351	9.50460417653726	22.695927337818	1.60500020088653e-113	7.022314883309881e-112	247.599036866228	1.908446629671882
Oxr1	0.661965278711518	10.3885580461067	22.4072272317157	1.0304232088222401e-110	4.41184412428279e-109	241.148690772175	1.5822365222844836
Tmtc1	0.538275968000336	8.68055134112893	22.3725303212074	2.22878607264987e-110	9.46169374153593e-109	240.378926162099	1.4522360464018924
Lrrc4c	0.666438036549852	9.78083233337642	22.3128982344072	8.36994098643356e-110	3.53820232608328e-108	239.058702323211	1.5871495095965842
Sema5a	0.734604970511294	8.43949417076511	21.976684430407	1.36337419298845e-106	5.59767289297824e-105	231.679886205189	1.6639417971869734
Sorl1	0.545077602982788	8.7371086525094	21.8934804665827	8.35800362211544e-106	3.4175517878159203e-104	229.870828049984	1.459098827476543
Gria4	0.797412613261017	9.97527437198806	21.808349318635	5.3064737092684e-105	2.15656385806548e-103	228.026844224782	1.737981364884346
Kcnj3	0.567027551703676	9.53807892855142	21.717979811471	3.7458637975514304e-104	1.51005134338792e-102	226.077123409435	1.4814680899177173
Nrxn1	0.52441212413455	12.2439449101899	21.6227342223563	2.91312281927016e-103	1.16263255032549e-101	224.030817985635	1.4383473563290132
Dab1	0.56772704167968	9.03583390457906	21.564260313576	1.02176364024095e-102	4.06975378219477e-101	222.778916210928	1.4821865531465341
Hs6st3	1.33791674720634	10.1384173466735	21.3153540482663	2.05613016174168e-100	8.045464302157501e-99	217.48724195	2.527860318878808
Bend5	0.588165538027855	9.99096604532684	20.8359396884651	4.74592519533644e-96	1.7972495128930298e-94	207.465419636748	1.503333964042013
Entrep2	0.572854383830576	9.24462483447304	20.3555927943278	8.92283239579907e-92	3.22043382227441e-90	197.649250252445	1.4874636200414386
Dpp6	0.590806875629449	9.24989177237299	20.0252917127437	6.80516053542527e-89	2.3913740756736102e-87	191.030246465301	1.5060888426451633
Dync1i1	0.546239151450695	9.57971215197841	19.986861118086	1.46283440543161e-88	5.11352691199388e-87	190.267055555615	1.460274056066385
Cdh8	0.627847619866323	8.74768663738923	19.6375880588976	1.43574087403265e-85	4.83293582092305e-84	183.397132912342	1.5452578776649728
Grm7	0.810855816404588	10.8188024374414	19.5832334176425	4.14978201246313e-85	1.3875399889498399e-83	182.338761557685	1.7542517679887941
Grm3	0.689378292809231	9.6335294929662	19.48196830148	2.97475491140495e-84	9.83144205843669e-83	180.374684628593	1.6125884485540454
Nebl	0.563241504564852	9.0219801959752	19.1427035487327	2.03063726874983e-81	6.5488051917181994e-80	173.867727886047	1.4775853880275958
AABR07032097.1	0.672020820189934	8.96702364703457	18.9921224503639	3.54740227165975e-80	1.13307201951816e-78	171.015793863973	1.5933031860899973
Prkn	0.531495702591181	9.33440180997964	18.5653416764145	1.04342466435515e-76	3.23963915586666e-75	163.05361062949	1.4454269538740285
Xkr4	0.529280304520251	9.91817493843847	18.3050151402956	1.24790766216047e-74	3.8036453818443e-73	158.284627192175	1.443209064014167
Thrb	0.537113660362929	9.03989548902332	17.9225481075258	1.24868270554005e-71	3.65555061453489e-70	151.398838071143	1.4510665232274806
Gas7	0.51406422395717	9.10635865178224	17.7542146500579	2.49586608775827e-70	7.23258585865602e-69	148.413777364991	1.4280675510603154
Lsamp	0.680112083979772	11.6363860258623	17.235460171212	2.13766166373739e-66	5.95300069170323e-65	139.389917252165	1.602264231364872
Garnl3	0.592378292374743	9.15373246275279	16.8884500380485	7.88251226180627e-64	2.09867952962472e-62	133.501380320902	1.507730203124457
Tmem108	0.514585778801637	9.14907574867375	16.6859109463071	2.3499859324494597e-62	6.070796992161111e-61	130.119212904722	1.4285839111886294
Rora	0.732765608552361	10.5733285461889	16.0665897170344	5.9012993774881305e-58	1.4478095834708599e-56	120.027994531657	1.6618217087846145
Nell1	0.624665985546343	9.13136799577824	15.830976620358	2.5226826979540002e-56	6.05534700427254e-55	116.288200239817	1.5418538122723853
Enox1	0.502440552910269	9.28565121192285	15.774500945832	6.15555274278455e-56	1.46176101059355e-54	115.399920154245	1.4166079589222131
Ptprt	0.561940403083101	9.56694053017231	12.7451058017388	3.73951984526148e-37	6.479350026516749e-36	72.370326314585	1.4762534212285974
