"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","GRIK1","IL1RAPL2","NPY","SCHIP1","NRG1","NELL1","GRM8","SOX6","LHFPL3","UNC5D","CACNA2D3","SST","RPS6KA2","NEGR1","LARGE1","MPPED2","NOS1","PCDH7","GRM1","RBFOX1","PTPRT","PDE4B","XYLT1","SPOCK1","PDE4D","RALYL","TMTC1","TACR1","PDZRN4","GPC6","GRM7","ELL2","RIT2","PDE1A","BCL11A","FAT3","MAML2","LRP8","PCSK2","IQCJ","CA10","ITPR2","PAM","PLCB1","ROBO1","GULP1","XKR4","TRPC6","CCSER1","CTTNBP2","GRIA3","MPDZ","GRK5","DGKG","NCAM2","CDH4","MCUB","NXPH2","KCNB2","EPB41L2","SRGAP1","KIF26B","MARCHF4","PARD3","CDH8","GRIK3","COL24A1","DMD","PLXNA2","RUNX1T1","CADM1","NKAIN2","CACNA1E","SCN9A","RYR2","GALNT10","BRINP3","PCSK5","GALNT18","RIMS2","TMEFF2","SHISA6","TOX","FNDC3A","AGBL4","NTM","CARMIL1","TENM3","CUX1","GRIN2A","GRK4","PALM2AKAP2","EPHA6","NALF1","CADPS","ENPP1","RAPGEF4","UNC5C","BCL11B","DNAH14","GAP43","EPHA5","DKK2","PIP5K1B","PACRG","RBMS3","KCNIP1","PTPRD","CAMK4","SORCS2","NOS1AP","PTPRM","SIPA1L1","GRIA1","SIDT1","ARHGAP44","ANOS1","TRPM3","NRXN3","ZNF385D","L3MBTL4","HTR4","GUCY1A2","COL19A1","TCF4","KCTD16"
"GO:MF","calcium channel regulator activity","GO:0005246","true","0.004059475471742008","2.391530078354952","47","120","5","20212",,,"TAS",,,,,,,,,,,,,,,,,,,"ISS,IEA",,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,,,,
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","false","0.007204590194623936","2.1423907173170464","692","120","15","20212","IDA,IBA,TAS",,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,"IBA,TAS,IEA",,,"IDA,IBA",,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IDA,IBA",,,,,,,"IDA,IBA,TAS,IEA","IDA,IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,"IBA",,,,,,,,,,,,,"IEA",,,,,,,"IDA,IBA,IEA",,,,"IDA,TAS,IEA",,,,,,,,
"GO:MF","3',5'-cyclic-nucleotide phosphodiesterase activity","GO:0004114","false","0.007603312325045885","2.118997169416173","26","120","4","20212",,,,,,,,,,,,,,,,,,,,,,"IDA,IGI,ISS,IBA,TAS,IEA",,,"IDA,IGI,ISS,IBA,TAS,NAS,IEA",,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GO:MF","phosphoric diester hydrolase activity","GO:0008081","false","0.007624694149872781","2.1177775725302386","90","120","6","20212",,,,,,,,,,,,,,,,"ISS,IEA",,,,,,"IDA,IGI,ISS,IBA,TAS,IEA",,,"IDA,IGI,ISS,IBA,TAS,NAS,IEA",,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,"IDA,ISS,IBA,TAS,NAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GO:MF","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","GO:1904315","false","0.008864272836660947","2.052356885102926","55","120","5","20212","IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,
"GO:MF","transmembrane transporter binding","GO:0044325","true","0.009715546342386699","2.0125327723351973","140","120","7","20212",,,,,,,,,,,,,,,,,"ISS,TAS",,,,,"ISS,IBA,IEA",,,"IPI,IBA",,,,,,,,,,,,,,,,,"IPI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS",,,,,"ISS,IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,
"GO:MF","cyclic-nucleotide phosphodiesterase activity","GO:0004112","false","0.010318140344057914","1.986398569287347","28","120","4","20212",,,,,,,,,,,,,,,,,,,,,,"IDA,IGI,ISS,IBA,TAS,IEA",,,"IDA,IGI,ISS,IBA,TAS,NAS,IEA",,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GO:MF","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","GO:0099529","false","0.010568752958182543","1.9759762534996095","57","120","5","20212","IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,
"GO:MF","ion channel regulator activity","GO:0099106","false","0.011142327396183822","1.9530240847684202","143","120","7","20212",,,"TAS",,,,,,,,,,,,,,"ISS",,,,,"ISS,IEA",,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA",,,,,,,,,,,,"IEA",,,,,,,
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","false","0.012788455195622926","1.893181913733718","727","120","15","20212","IDA,IBA,TAS,IEA",,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,"IDA,IBA,TAS,IEA",,,"IDA,IMP,IBA,NAS,IEA",,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IDA,ISS,IBA,IEA",,,,,,,"IDA,IBA,TAS,IEA","IDA,IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,"IBA",,,,,,,,,,,,,"IEA",,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","transporter regulator activity","GO:0141108","false","0.013902186798388763","1.8569168803376426","148","120","7","20212",,,"TAS",,,,,,,,,,,,,,"ISS",,,,,"ISS,IEA",,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA",,,,,,,,,,,,"IEA",,,,,,,
"GO:MF","channel regulator activity","GO:0016247","false","0.013902186798388763","1.8569168803376426","148","120","7","20212",,,"TAS",,,,,,,,,,,,,,"ISS",,,,,"ISS,IEA",,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA",,,,,,,,,,,,"IEA",,,,,,,
"GO:MF","transmitter-gated monoatomic ion channel activity","GO:0022824","false","0.014734980412802903","1.8316504371209628","61","120","5","20212","IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,
"GO:MF","transmitter-gated channel activity","GO:0022835","false","0.014734980412802903","1.8316504371209628","61","120","5","20212","IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,
"GO:MF","group III metabotropic glutamate receptor activity","GO:0001642","false","0.016646074004352026","1.778688178932298","2","120","2","20212",,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GO:MF","monoatomic cation transmembrane transporter activity","GO:0008324","false","0.03184181387880321","1.4970022005098327","608","120","13","20212","IDA,IBA,TAS",,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IDA,IBA",,,,,,,"IDA,IBA,TAS,IEA","IDA,IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,IEA",,,,"IBA",,,,,,,,,,,,,"IEA",,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","ligand-gated monoatomic ion channel activity","GO:0015276","false","0.0348375447317991","1.4579524606392842","171","120","7","20212","IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,,,,,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,,,,,,,,,
"GO:MF","ligand-gated channel activity","GO:0022834","false","0.03613898474564957","1.4420240522608492","172","120","7","20212","IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,,,,,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,,,,,,,,,
