"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","DOCK5","RNF220","PLP1","TF","DAAM2","CTNNA3","CLDN11","MBP","KCNH8","ARAP2","PLEKHH1","PHLPP1","PIP4K2A","SLC44A1","PDE8A","TMTC2","SLC39A11","NFIA","QKI","DIP2B","SLC1A2","DLG1","ELMO1","FBXL7","DOCK10","FMNL2","COBL","NCKAP5","UNC5C","WWOX","PCDH9","NRG1","NFIB","ADARB2","IL1RAPL1","PDE4B","FGF13","DSCAM","CDH13"
"GO:CC","somatodendritic compartment","GO:0036477","false","0.0029682983781892706","2.527492445209754","848","39","9","22097",,,,,,,,"IBA,IEA",,,,,,,,,,,,"ISS,IEA",,,,,"ISS,IEA",,"ISS,IBA,IEA",,"IEA",,,,,,"ISS,IEA","IEA","ISS,IEA","ISS,IEA",
"GO:CC","site of polarized growth","GO:0030427","false","0.003024557758418103","2.519338117579922","174","39","5","22097",,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,IEA",,"ISS,IEA",,"IEA",,,,,,"ISS,IEA","ISS,IEA",
"GO:CC","plasma membrane","GO:0005886","true","0.0030676584145748003","2.5131930009565338","5742","39","23","22097","IDA,IBA,IEA",,"IDA,IBA,IEA","IDA,IBA",,,"IDA,IBA,IEA","IEA","IDA,TAS",,,"IEA","IDA,IBA,IEA","IDA,IMP,IBA,TAS,IEA",,,"ISS,IEA",,,,"IDA,IMP,IBA,TAS,IEA","IDA,IBA,TAS,IEA","IDA,IBA,IEA",,,,"ISS,IBA,IEA",,"IDA,IEA","IDA","IEA","IDA,IEA",,,"IDA,TAS,NAS,IEA","ISS,IEA","ISS,IEA","ISS,IBA,TAS,IEA","IDA,IBA,TAS,IEA"
"GO:CC","cell periphery","GO:0071944","false","0.012731669141330736","1.8951146559418117","6228","39","23","22097","IDA,IBA,IEA",,"IDA,IBA,IEA","IDA,IBA",,,"IDA,IBA,IEA","IBA,IEA","IDA,TAS",,,"IEA","IDA,IBA,IEA","IDA,IMP,IBA,TAS,IEA",,,"ISS,IEA",,,,"IDA,IMP,IBA,TAS,IEA","IDA,IBA,TAS,IEA","IDA,IBA,IEA",,,,"ISS,IBA,IEA",,"IDA,IEA","IDA","IEA","IDA,IEA",,,"IDA,TAS,NAS,IEA","ISS,IEA","ISS,IEA","ISS,IBA,TAS,IEA","IDA,HDA,IBA,TAS,IEA"
"GO:CC","myelin sheath","GO:0043209","true","0.01564349914092953","1.8056660973359042","45","39","3","22097",,,"IBA,IEA",,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,,,
"GO:CC","intercalated disc","GO:0014704","false","0.025574675584460388","1.5921898666196068","53","39","3","22097",,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,"TAS",,,,,,,,,,,,,,,"ISS,IEA",,
"GO:CC","distal axon","GO:0150034","false","0.028637544757381783","1.5430642190467627","279","39","5","22097",,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,IEA",,"ISS,IEA",,"IEA",,,,,,"ISS,IEA","ISS,IEA",
"WP","Glial cell differentiation","WP:WP2276","false","0.025537299713204023","1.59282502647957","8","23","2","8286",,,"WP",,,,,"WP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF","Factor: Churchill; motif: CGGGNN","TF:M00986","false","0.008676791183242877","2.0616408542085134","14579","39","39","20045","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF","TF"
"HPA","hippocampus; glial cells[≥Medium]","HPA:0250122","false","0.042454934693451477","1.372071822838633","2004","26","13","11019",,,,,,,"Enhanced","Enhanced","Approved",,,,"Supported",,"Approved",,,"Enhanced","Enhanced","Enhanced","Enhanced",,,,"Enhanced","Enhanced",,,,,,,"Supported",,,,,"Enhanced",
