"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","GRIK1","RALYL","SST","STXBP6","GRM1","TRHDE","BCL11A","CRB1","GRIK3","EPB41L2","UST","KIF26B","GRIN3A","GRID2","NETO1","SPOCK3","WLS","SATB1","CDH9","PLCH1","DMD","GPC6","TMTC1","CDH8","CACNA2D3","SORBS2","KIAA1217","MAN1A1","ROBO2","NRXN3","GPM6A","ST6GALNAC5","TSHZ3","GRIA3","DAPK1","RUNX1T1","RASGRF2","SOX6","RYR2","CTNNA2","SHISA6","NETO2","LHFPL3","RGS6","SLC8A1","TIAM1","RBFOX1","XKR4","ROBO1","TMEFF2","PCDH15","PDE4B","ADCY2","SLC24A2","SYNPR","PPP2R2B","GRIK2","TENM3","OXR1","PACRG","TENM2","PDE1C","ASTN2","LRRTM4","NPAS3"
"GO:BP","synaptic transmission, glutamatergic","GO:0035249","true","7.059844873044846e-8","7.151204841656523","111","62","9","21031","IBA,TAS",,,,"IBA",,,,"ISS,IBA",,,,"IBA","ISS,IBA,IEA",,,,,,,,,,"IBA,IEA",,,,,,,,,"ISS","IBA",,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,
"GO:BP","ionotropic glutamate receptor signaling pathway","GO:0035235","true","1.2715702468202438e-7","6.895659642595076","24","62","6","21031","IEA",,,,,,,,"IEA",,,,"IBA,IEA","IEA",,,,,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,,,,,
"GO:BP","glutamate receptor signaling pathway","GO:0007215","false","2.373137724851032e-7","6.624677056807033","50","62","7","21031","TAS,IEA",,,,"IMP,IBA,IEA",,,,"IDA,IEA",,,,"IBA,IEA","TAS,IEA",,,,,,,,,,,,,,,,,,,,"TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,"TAS,IEA",,,,,,,,
"GO:BP","chemical synaptic transmission","GO:0007268","false","6.635813979670289e-7","6.178105796959771","750","62","16","21031","IBA,TAS",,"TAS",,"IBA,TAS,IEA",,,,"ISS,IBA",,,,"IBA,IEA","IMP,ISS,IBA,IEA","ISS,IBA,IEA",,,,,,"IEA",,,"IBA,IEA",,,,,,"IEA",,,"ISS","IBA",,,"IEA",,,,"ISS,IBA,IEA",,,,,,,,,,,,,"IBA,IEA",,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,
"GO:BP","anterograde trans-synaptic signaling","GO:0098916","false","6.635813979670289e-7","6.178105796959771","750","62","16","21031","IBA,TAS",,"TAS",,"IBA,TAS,IEA",,,,"ISS,IBA",,,,"IBA,IEA","IMP,ISS,IBA,IEA","ISS,IBA,IEA",,,,,,"IEA",,,"IBA,IEA",,,,,,"IEA",,,"ISS","IBA",,,"IEA",,,,"ISS,IBA,IEA",,,,,,,,,,,,,"IBA,IEA",,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,
"GO:BP","trans-synaptic signaling","GO:0099537","false","7.452427206372545e-7","6.127702257365123","756","62","16","21031","IBA,TAS",,"TAS",,"IBA,TAS,IEA",,,,"ISS,IBA",,,,"IBA,IEA","IMP,ISS,IBA,IEA","ISS,IBA,IEA",,,,,,"IEA",,,"IBA,IEA",,,,,,"IEA",,,"ISS","IBA",,,"IEA",,,,"ISS,IBA,IEA",,,,,,,,,,,,,"IBA,IEA",,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,
"GO:BP","ligand-gated ion channel signaling pathway","GO:1990806","false","0.0000010250527580309822","5.989253781503755","33","62","6","21031","IEA",,,,,,,,"IEA",,,,"IBA,IEA","IEA",,,,,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,,,,,
"GO:BP","synaptic signaling","GO:0099536","false","0.000001173556198086178","5.930496108507371","780","62","16","21031","IBA,TAS",,"TAS",,"IBA,TAS,IEA",,,,"ISS,IBA",,,,"IBA,IEA","IMP,ISS,IBA,IEA","ISS,IBA,IEA",,,,,,"IBA,IEA",,,"IBA,IEA",,,,,,"IEA",,,"ISS","IBA",,,"IEA",,,,"ISS,IBA,IEA",,,,,,,,,,,,,"IBA,IEA",,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,
"GO:BP","modulation of chemical synaptic transmission","GO:0050804","true","0.0000028026374816519286","5.552433074162672","489","62","13","21031","IBA,TAS",,,,"IBA",,,,"ISS,IBA",,,,"IBA,IEA","IMP,IBA","ISS,IBA,IEA",,,,,,,,,,,,,,,"IEA",,,"ISS","IBA",,,"IEA",,,,"IBA",,,,,,,,,,,,,"IBA,IEA",,,"IDA,IMP,IBA,IEA",,,,,,,,
"GO:BP","regulation of trans-synaptic signaling","GO:0099177","false","0.00000287268980127987","5.541711267452438","490","62","13","21031","IBA,TAS",,,,"IBA",,,,"ISS,IBA",,,,"IBA,IEA","IMP,IBA","ISS,IBA,IEA",,,,,,,,,,,,,,,"IEA",,,"ISS","IBA",,,"IEA",,,,"IBA",,,,,,,,,,,,,"IBA,IEA",,,"IDA,IMP,IBA,IEA",,,,,,,,
